Farm_ID,herd_size,years_organic,BTM_SCC,BTM_samples, SA_pos_BTM,prop_SA_pos,SA_saved,SA_var,blaZ_pos_BT,blaZ_pos_I,isolates_typed,STs_obs,CC_obs
1,54,5,781000,12,7,0.58,8,3,1,1,4,3,1
2,43,12,173000,3,2,0.67,4,3,1,2,4,3,3
3,29,12,203000,42,37,0.88,41,3,0,0,4,2,1
4,57,7,233000,13,9,0.69,16,2,0,0,2,1,1
5,68,4,395000,2,2,1,14,1,0,0,1,1,1
6,30,10,328000,2,2,1,9,1,0,0,1,1,1
7,30,27,239000,12,9,0.75,10,1,0,0,1,1,1
8,16,4,316000,11,9,0.82,13,2,0,0,3,3,1
9,63,6,224000,16,16,1,23,2,0,0,2,2,2
10,25,4,120000,44,7,0.16,5,2,0,0,2,1,1
11,32,5,267000,13,6,0.46,8,2,0,0,2,2,2
12,56,3,281000,2,2,1,11,2,0,0,2,2,1
13,21,7,262000,12,12,1,12,2,0,0,2,2,2
14,135,15,420000,14,12,0.86,20,2,0,0,3,2,1
15,6,4,427000,2,1,0.5,2,1,0,0,1,1,1
16,71,8,120000,42,25,0.6,33,3,1,2,4,3,3
17,280,7,178000,11,4,0.36,6,2,0,0,2,2,1
18,61,7,262000,14,9,0.64,11,2,0,0,4,2,2
19,75,7,237000,15,14,0.93,18,3,1,4,6,3,3
20,96,5,358000,14,12,0.86,25,3,1,1,3,2,2
21,95,7,162000,2,2,1,8,4,2,3,5,3,2
22,64,17,202000,2,1,0.5,5,1,0,0,1,1,1
23,32,12,203000,4,4,1,41,3,1,1,3,2,2
24,52,6,109000,2,2,1,7,2,0,0,2,2,2
25,62,5,229000,13,12,0.92,23,2,0,0,2,1,1
26,32,5,225000,2,2,1,2,1,0,0,1,1,1
27,75,5,414000,15,13,0.87,24,2,0,0,2,2,1
28,39,17,130000,2,2,1,12,2,0,0,2,2,1
29,47,6,217000,2,2,1,8,1,0,0,1,1,1
30,53,10,145000,15,6,0.4,8,2,1,1,2,2,2
31,20,7,190000,14,8,0.5,12,2,0,0,2,2,2
32,48,13,201000,13,10,0.77,11,2,0,0,2,2,1
33,32,6,136000,2,2,1,5,1,0,0,1,1,1
34,85,8,489000,15,6,0.4,12,2,0,0,2,1,1
35,54,19,513000,2,2,1,3,1,0,0,1,1,1
36,50,5,502000,13,13,1,33,3,0,0,3,3,2
37,80,13,264000,14,8,0.57,10,3,1,1,3,2,2
38,67,5,169000,2,2,1,10,2,0,0,2,1,1
39,56,16,166000,14,14,1,34,2,0,0,2,1,1
40,50,5,167000,2,2,1,4,1,0,0,1,1,1
41,42,5,281000,11,6,0.55,6,2,0,0,2,2,2
42,26,5,219000,10,8,0.8,9,3,0,0,4,2,2
43,25,17,129000,11,6,0.55,9,1,0,0,1,1,1
44,58,3,33000,2,0,0,0,0,0,0,0,0,0
